date_researched,city,cafe_name,address,website,instagram,email,fit_score,recommended_tier,hook,status,notes,trigger_strategy,trigger_source_url
2026-08-10,London,Calico Coffee,Waterloo,https://www.calicocoffee.co.uk,@calico_coffee_uk_,,8,2,August slow season — Waterloo commuter footfall thins; the customers they DO have are the asset. Referral loop turns one into two.,trigger-drafted,,slow_season,calendar:2026-08
2026-08-10,London,Kiss the Hippo,"Covent Garden / Fitzrovia",https://www.kissthehippo.com,@kissthehippo,info@kissthehippo.com,9,2,August dip + new matcha lineup live — the exact moment a counter game pushing the high-margin item pays for itself.,trigger-drafted,,slow_season,calendar:2026-08
2026-08-10,London,Special Guests Coffee,Marylebone,https://www.specialguestscoffee.com,@specialguestscoffee,,8,1,August slow season in Marylebone; competition-lot craft story suits a Persona-Tap lead capture perfectly.,trigger-drafted,,slow_season,calendar:2026-08
2026-08-10,London,Ozone Coffee,Shoreditch,https://www.ozonecoffee.co.uk,@ozonecoffeeuk,,7,2,Shoreditch August lull — matcha + food lineup is upsell-rich; referral game earns its keep now.,trigger-drafted,,slow_season,calendar:2026-08
2026-08-10,London,Prufrock Coffee,"Farringdon / Holborn",https://www.prufrockcoffee.com,@prufrockcoffee,info@prufrockcoffee.com,8,1,Holborn/Farringdon is one of London's most commuter-dependent pockets; August thin-out is sharp. Training-hub crowd suits Persona-Test (3-question).,trigger-drafted,,slow_season,calendar:2026-08
2026-08-10,London,Rosslyn Coffee,City of London,https://www.rosslyncoffee.com,@rosslyncoffee,,7,1,Royal Exchange location = pure City commuter traffic; August is brutal. "Best new cafés in the world" accolade — don't waste the spike without an email list.,trigger-researched,ALSO hit by chain_nearby: 118 London Wall ~3min from Blank Street 101 Moorgate + Gail's Broadway. Promote to drafted next chain_nearby run.,slow_season,calendar:2026-08
2026-08-10,London,Monmouth Coffee Company,"Borough / Covent Garden",https://www.monmouthcoffee.co.uk,@monmouthcoffee,,7,1,Borough Market tourist traffic masks the August regular drop; original third-wave roaster — every walk-out without an email is a loss.,trigger-researched,,slow_season,calendar:2026-08
2026-08-10,London,Nostos Coffee,"Battersea / St James's",,@nostos.coffee,,5,1,August slow season; two-site indie with Greek specialty angle. Website down on test-fire (www.nostoscoffee.com ENOTFOUND) — verify handle + site before outreach.,trigger-researched,,slow_season,calendar:2026-08
2026-08-10,London,Nowhere - Dark Arts @ Aries,Soho,,@darkartscoffee,,5,2,Soho August lull; Dark Arts collab spot — roaster with street-culture vibe. No site/email in public sources; IG DM only.,trigger-researched,,slow_season,calendar:2026-08
2026-08-10,London,Turk's Head Cafe,Wapping,,@theturksheadwapping,,5,2,Wapping all-day spot; August quiet. IG handle in OSM. Bistro/all-rounder menu suits Spin-the-Wheel for broad upsell variety.,trigger-researched,,slow_season,calendar:2026-08
2026-08-10,London,Brown & Green Cafe,"Crystal Palace Triangle",https://www.brownandgreencafe.com,@brownandgreencafe,,10,3,"Gail's Bakery opening on Westow Hill (former Coopers pub). Owner Laura Tilli quoted in Time Out: ""worried it's going to blow everybody out of the water"". Live, named, dated trigger — strongest possible Cinn fit.",trigger-drafted,,chain_nearby,https://www.timeout.com/london/news/why-is-a-new-gails-bakery-in-south-london-so-controversial-111025
2026-08-10,London,Roasted Bean,Crystal Palace Triangle,,@roastedbeancrystalpalace,,9,2,Gail's Bakery opening on Westow Hill. Triangle indie; partners with Lomond Coffee (specialty signal). Expanding vegan range = upsell angle.,trigger-drafted,,chain_nearby,https://www.timeout.com/london/news/why-is-a-new-gails-bakery-in-south-london-so-controversial-111025
2026-08-10,London,Pique Cafe,Crystal Palace,,,,8,2,Crystal Palace Gail's opening on Westow Hill. Listed in Time Out CP cafe roundup. ⚠️ no public IG/email confirmed — do NOT guess; resolve on walk-through or skip.,trigger-drafted,,chain_nearby,https://www.timeout.com/london/blog/eight-brilliant-reasons-to-go-and-explore-crystal-palace-this-weekend-081116
2026-08-10,London,Blowing Dandelion,Crystal Palace,,,,8,2,Crystal Palace Gail's opening on Westow Hill. Listed in StreetLife Stories CP roundup. ⚠️ no public IG/email confirmed — resolve before outreach.,trigger-drafted,,chain_nearby,https://www.streetlifestories.com/p/exploring-crystal-palace-my-top-4
2026-08-10,London,Notes Coffee,Moorgate,,,,7,1,Blank Street newest London location at 101 Moorgate (live). Notes is a well-regarded indie next door — direct competitor moved in. TripAdvisor top-rated indie.,trigger-drafted,,chain_nearby,https://www.blankstreet.com/en-US/locations/london
2026-08-10,London,Darkhorse Espresso,"Moorgate / London Wall",,,,7,1,Blank Street at 101 Moorgate + Gail's largest London shop at The Broadway. Darkhorse is on the corner of Moorgate/London Wall per Brian's Coffee Spot. Two chain events stacking.,trigger-researched,,chain_nearby,https://www.brian-coffee-spot.com/the-coffee-spot-guide-to/united-kingdom/london/central-london-east/
2026-08-10,London,Forbes & Hamilton Coffee House,"London Wall / Liverpool Street",,,,6,1,Near Moorgate/Liverpool St corridor per Londonaire feature. Blank Street + Gail's Broadway both within walking distance.,trigger-researched,,chain_nearby,https://londonaire.co.uk/3-best-coffee-shops-on-london-wall-in-the-city-of-london/
2026-08-10,London,Kamari (The Authentic Greek),Crystal Palace Triangle,,,,6,2,Crystal Palace Gail's opening on Westow Hill. Kamari listed at 25 Westow Street (StreetLife). Greek specialist. ⚠️ verify IG before outreach.,trigger-researched,,chain_nearby,https://www.streetlifestories.com/p/exploring-crystal-palace-my-top-4
2026-08-10,London,Crespidia,Crystal Palace Triangle,,,,6,2,Crystal Palace Gail's opening on Westow Hill. Listed in StreetLife CP roundup. ⚠️ verify IG before outreach.,trigger-researched,,chain_nearby,https://www.streetlifestories.com/p/exploring-crystal-palace-my-top-4
2026-08-12,London,TomTom Coffee House,Belgravia,https://www.tomtomcoffee.co.uk/coffee-house/,@tomtomcoffee,coffee@tomtomcoffee.co.uk,8,1,Allpress espresso + house-baked focaccia; artisanal Belgravia corner. Persona-Tap suits the craft story.,drafted,organic,,
2026-08-12,London,Sawyer & Gray,,https://www.sawyerandgray.co.uk,@sawyerandgray,hello@sawyerandgray.co.uk,7,2,"Confirmed indie; speciality coffee + in-house baking. Scratch-and-Match pushes the high-margin bake.",drafted,organic,,
2026-08-12,London,Urban Social Coffee,"Islington / Bayswater / Hackney",https://urbansocialcoffee.co.uk,@urbansocialcoffee,info@urbansocialcoffee.co.uk,7,3,"TripAdvisor #1 curated cafe London; 3 sites + franchise. Referral loop fits multi-site credibility.",drafted,organic,,
2026-08-12,London,E. Pellicci,Bethnal Green Road,https://epellicci.co.uk,@pelliccicafe,,8,1,"UK's oldest family-run cafe (1900), Art Deco. Heritage story suits Persona-Tap. NO public email — DM/in-person.",drafted,organic,,
2026-08-12,London,Le Peche Mignon,,http://lepechemignon.co.uk,,,5,2,"French speciality + pastry angle (2 sites). Scratch-and-Match with cinnamon bun/cheesecake. No public email — contact form.",drafted,organic,,
2026-08-12,London,Nkora,,http://nkora.co.uk,@nkoracoffee,,6,1,Specialty coffee; IG only. Persona-Tap fits. No public email — DM-worthy.,researched,organic,,
2026-08-12,London,The Espresso Room,,https://www.theespressoroom.co.uk,,,,4,1,Specialty name but site returned 404 on enrichment (also 404 on 8-05). Verify before outreach.,researched,organic,,
2026-08-12,London,The Black Penny,,https://www.theblackpenny.com,,,,5,2,Industrial-chic brunch + specialty + cocktails. No email (contact form). Spin-the-Wheel for broad upsell.,researched,organic,,
2026-08-12,London,elixis,,https://www.elixislondon.co.uk,https://www.instagram.com/elixislondon,,6,2,IG-listed indie; vibe unconfirmed (site not enriched this run). DM-worthy.,researched,organic,,
2026-08-12,London,The Hill Station,,https://hillstationcafe.co.uk,,cafeinthepark@live.co.uk,6,1,Park cafe with email listed. Community/neighborhood fit. Verify vibe before drafting.,researched,organic,,
2026-08-16,London,H.R. Higgins Coffee Merchant,"79 Duke Street, Mayfair",https://www.hrhiggins.co.uk,,info@hrhiggins.co.uk,7,1,"Heritage merchant since 1942, Royal Warrant, on-site cafe. Persona-Tap suits discerning old-world vibe.",drafted,organic,,
2026-08-16,London,Bad Moon Cafe,,https://www.badmooncafe.co.uk,,,,6,2,"Tabletop gaming cafe 6+ yrs, single site. Thematic bullseye: games venue + game-based capture. No email — contact/DM.",drafted,organic,,
2026-08-16,London,The Blue Owl,Finsbury Park,https://theblueowl.cafe,,theblueowl155@gmail.com,6,2,"Indie all-day brunch, locally sourced. Scratch-and-Match pushes brunch upsell.",drafted,organic,,
2026-08-16,London,The Broca,Brockley,https://thebroca.com,,thebrocacafe@gmail.com,6,1,"Community cafe, vegan + coffee. Persona-Tap suits community warmth.",drafted,organic,,
2026-08-16,London,Duncan Terrace Cafe,City Road,https://www.duncanterrace.co.uk,,info@duncanterrace.co.uk,5,1,"Weekday breakfast/lunch regulars. Horoscope (daily replayable) fits returning crowd.",drafted,organic,,
2026-08-16,London,Bar Italia,Soho,http://www.baritaliasoho.co.uk,,,,6,1,"Soho institution, open late. No public email — DM-worthy.",researched,organic,,
2026-08-16,London,Markus Coffee Co,Kensington,https://www.markuscoffee.com,,,,4,1,"Heritage roaster. Not enriched this run — verify vibe before drafting.",researched,organic,,
